label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
2	2040 kg	1.3588	TRACK & FIELD	Fish	817 kg/s	0.8065	0.841	-0.0945	1.0004	1.1697
5	1197 kg	-0.5379	boxing	rabbit	1287 kg/s	0.882	0.6827	1.033	-0.757	-0.611
5	769 kg	0.5562	volleyball	ferret, hamster	-309 kg/s	-1.3471	1.2384	-0.8929	1.6948	0.0668
0	32 kg	-0.2769	running	bird	1390 kg/s	-0.2237	0.9752	1.9738	0.4305	-0.3555
3	1157 kg	0.2706	tennis	chicken	882 kg/s	-1.6675	0.1847	1.9476	1.7444	-0.3002
6	-343 kg	1.4783	ice hockey	dog	1044 kg/s	-0.263	1.5618	-0.2237	0.6999	0.9546
4	-224 kg	0.884	golf	guinea pig	941 kg/s	0.2273	-0.0579	1.2884	2.1682	0.1019
3	NULL	0.0941	tennis	dog	89 kg/s	0.3303	1.1623	0.9682	2.0109	-0.2761
4	765 kg	1.0864	golf	guinea pig	425 kg/s	0.8316	2.6496	1.0002	2.3889	3.3046
2	-642 kg	-0.3519	track & field	fish	1376 kg/s	0.1428	1.3569	-0.5803	-0.1487	0.5626
0	3075 kg	-0.1471	motor sports	bird	N/A	0.3873	0.284	0.6917	-0.1048	-0.1519
6	-226 kg	0.7967	ice hockey	dog	1127 kg/s	0.2638	-0.0268	-0.1079	0.6864	-0.0627
3	-269 kg	0.8273	tennis	rat	385 kg/s	0.5585	-0.7546	3.0502	0.2909	0.7316
2	NULL	0.0044	football	fish	606 kg/s	0.2647	0.0479	1.2132	2.2117	-1.3799
6	491 kg	0.4173	ice hockey	dog	810 kg/s	0.3433	0.7168	0.2995	1.2948	0.3969
4	1477 kg	1.2874	basketball	guinea pig	332 kg/s	0.116	0.7413	1.2981	-0.0267	-0.3848
3	379 kg	1.0044	tennis	rat	105 kg/s	-0.5475	1.7713	-0.8009	1.0194	0.0447
0	-186 kg	1.1722	baseball	bird	-170 kg/s	1.403	1.0754	1.183	N/A	0.3422
1	922 kg	2.2054	baseball	pig	1327 kg/s	1.1093	0.6731	1.0523	-0.4396	1.5557
6	367 kg	0.3349	ice hockey	dog	852 kg/s	1.9327	1.6507	2.4029	0.073	1.5149
3	301 kg	0.0905	tennis	RAT	-101 kg/s	0.1202	1.1975	1.6344	1.8511	-0.5656
5	1095 kg	1.0147	boxing	hamster, rabbit	1007 kg/s	0.3893	0.3671	0.846	0.164	0.7536
4	-1607 kg	-2.2692	golf	guinea pig	488 kg/s	0.3652	0.1491	0.9705	1.2657	-1.0681
5	-528 kg	-0.0623	BOXING	hamster	431 kg/s	0.0351	1.2224	1.8687	0.7366	-0.5256
2	1102 kg	1.1178	track & field	fish	N/A	1.1442	0.0215	0.4322	1.069	1.7531
2	223 kg	0.2571	track & field	fish	391 kg/s	0.5923	1.6173	-1.0961	2.093	-0.9486
2	775 kg	0.5966	track & field	fish	812 kg/s	0.125	0.3888	-0.1677	0.2568	1.5433
4	?	1.6708	basketball	guinea pig	2885 kg/s	-0.8395	0.3894	-1.2656	1.5714	1.6369
3	1480 kg	0.6306	tennis	rat	1767 kg/s	-0.3574	-0.4355	-0.05	0.8356	0.1528
5	-939 kg	0.5844	badminton	rabbit	-508 kg/s	-0.6664	0.634	0.8246	-0.4511	-0.6507
5	?	1.3732	badminton	hamster, rabbit	700 kg/s	1.8238	1.9122	0.6775	-0.1267	0.6248
0	968 kg	-0.1549	running	bird	143 kg/s	-0.2754	1.9881	-0.3001	-0.112	-1.5122
3	623 kg	-0.8246	tennis	CHICKEN	1234 kg/s	0.9424	1.5152	0.2899	0.3277	0.3488
3	-173 kg	0.5184	tennis	chicken	3146 kg/s	-0.1453	1.2768	-1.487	1.8194	0.8524
1	970 kg	-0.2074	volleyball	reptile, pig	2171 kg/s	0.0099	1.2206	0.6415	1.251	0.54
0	348 kg	-0.7508	RUNNING	bird	1669 kg/s	-0.5157	1.0109	3.5563	2.0123	1.2635
3	954 kg	0.247	running	chicken	2122 kg/s	1.542	1.1534	0.1009	-0.1009	0.6207
0	573 kg	-0.4302	motor sports	dog	1525 kg/s	-0.3344	0.8386	0.7697	-0.0087	0.9653
4	-490 kg	0.8004	golf	guinea pig	1267 kg/s	0.2401	0.114	2.1578	3.1714	1.5293
1	1443 kg	0.9118	baseball	guinea pig	1294 kg/s	0.5477	-0.1279	-0.4759	1.8453	0.0844
0	250 kg	1.3321	motor sports	bird	1506 kg/s	0.442	-0.4304	1.3073	-0.0246	2.4664
1	768 kg	0.3451	volleyball	reptile, cat	879 kg/s	0.5139	-0.8473	1.1895	1.5525	-1.059
5	1342 kg	-0.1524	badminton	rabbit, ferret	-166 kg/s	0.6286	0.1413	1.049	0.8569	0.3536
0	-726 kg	0.7324	running	bird	119 kg/s	-0.1141	0.0819	0.6596	0.5299	0.9684
2	3298 kg	0.4131	football	fish	-534 kg/s	1.0051	0.7286	0.4723	0.6227	0.6694
4	1411 kg	-0.5575	golf	guinea pig	-855 kg/s	-0.8181	0.0263	0.3658	1.6497	-0.2183
5	713 kg	0.7132	boxing	ferret	2684 kg/s	-0.7261	0.1248	0.7034	-0.0427	0.8903
1	-1807 kg	0.136	volleyball	cat, reptile	1406 kg/s	0.6242	-0.9874	-1.0696	0.8522	0.2663
4	1576 kg	1.2976	golf	guinea pig	896 kg/s	0.4519	0.6064	-0.828	1.3932	0.0217
3	615 kg	-0.3422	tennis	chicken	-191 kg/s	0.7369	0.529	-1.3667	1.3888	0.569
4	120 kg	0.3804	golf	guinea pig	-337 kg/s	1.5559	-0.8195	-0.5418	1.339	2.2663
4	-293 kg	1.2046	tennis	guinea pig	-36 kg/s	-0.2763	2.563	0.798	1.1146	0.4731
5	-1857 kg	0.9911	baseball	rabbit	-564 kg/s	0.2947	-0.0177	-0.7508	1.3764	0.8183
4	-864 kg	-0.8397	golf	guinea pig	233 kg/s	0.9162	0.5011	0.9205	0.4213	3.0948
1	592 kg	-0.8048	ice hockey	pig, reptile	1735 kg/s		0.6266	-1.0419	0.7251	0.3469
4	-747 kg	0.2018	Basketball	guinea pig	-619 kg/s	-1.3116	0.8357	-0.8259	1.91	0.5916
0	2047 kg	0.1205	motor sports	bird	1480 kg/s	-0.2569	0.1124	1.7616	-0.4169	1.23
0	823 kg	0.5122	motor sports	bird	458 kg/s	-0.3507	0.0187	2.0147	1.3888	-0.0209
